24.000000,	42.599998,	10.000000,
23.999994,	43.102901,	10.000000,
23.989380,	43.638657,	10.000000,
23.958508,	44.173561,	10.000000,
23.907541,	44.706799,	10.000000,
23.836695,	45.237572,	10.000000,
23.746202,	45.765106,	10.000000,
23.636332,	46.288651,	10.000000,
23.507378,	46.807465,	10.000000,
23.359665,	47.320847,	10.000000,
23.193539,	47.828114,	10.000000,
23.009377,	48.328598,	10.000000,
22.807566,	48.821686,	10.000000,
22.588524,	49.306755,	10.000000,
22.352678,	49.783241,	10.000000,
22.109430,	50.232883,	10.000000,
21.866446,	50.670547,	10.000000,
21.622946,	51.107960,	10.000000,
21.370697,	51.563816,	10.000000,
21.092909,	52.017342,	10.000000,
20.788221,	52.452106,	10.000000,
20.457933,	52.866558,	10.000000,
20.103418,	53.259232,	10.000000,
19.726137,	53.628757,	10.000000,
19.327616,	53.973869,	10.000000,
18.909447,	54.293404,	10.000000,
18.473286,	54.586304,	10.000000,
18.020823,	54.851612,	10.000000,
17.553806,	55.088501,	10.000000,
17.074013,	55.296234,	10.000000,
16.583246,	55.474194,	10.000000,
16.083336,	55.621880,	10.000000,
15.576120,	55.738892,	10.000000,
15.063451,	55.824940,	10.000000,
14.496608,	55.883556,	10.000000,
13.978497,	55.904236,	10.000000,
13.460636,	55.893761,	10.000000,
12.944839,	55.852295,	10.000000,
12.432894,	55.780083,	10.000000,
11.926565,	55.677475,	10.000000,
11.427580,	55.544933,	10.000000,
10.953373,	55.389351,	10.000000,
10.480415,	55.227112,	10.000000,
10.009151,	55.068401,	10.000000,
9.531377,	54.907326,	10.000000,
9.036842,	54.738018,	10.000000,
8.525497,	54.557117,	10.000000,
8.051974,	54.381683,	10.000000,
7.567086,	54.191669,	10.000000,
7.080714,	53.988522,	10.000000,
6.599161,	53.774345,	10.000000,
6.122678,	53.549271,	10.000000,
5.651520,	53.313431,	10.000000,
5.185932,	53.066948,	10.000000,
4.726162,	52.809971,	10.000000,
4.272449,	52.542641,	10.000000,
3.825031,	52.265102,	10.000000,
3.384141,	51.977528,	10.000000,
2.950007,	51.680061,	10.000000,
2.522856,	51.372879,	10.000000,
2.102906,	51.056156,	10.000000,
1.690376,	50.730057,	10.000000,
1.285472,	50.394775,	10.000000,
0.890387,	50.052284,	10.000000,
0.513036,	49.711452,	10.000000,
0.152630,	49.375301,	10.000000,
-0.230117,	49.009670,	10.000000,
-0.596473,	48.654598,	10.000000,
-0.976192,	48.285809,	10.000000,
-1.358565,	47.922203,	10.000000,
-1.740004,	47.578545,	10.000000,
-2.123541,	47.264568,	10.000000,
-2.549356,	46.959354,	10.000000,
-2.965367,	46.700165,	10.000000,
-3.397783,	46.466930,	10.000000,
-3.845026,	46.260689,	10.000000,
-4.305453,	46.082401,	10.000000,
-4.777355,	45.932911,	10.000000,
-5.258966,	45.812977,	10.000000,
-5.748470,	45.723240,	10.000000,
-6.253600,	45.663429,	10.000000,
-6.778772,	45.629898,	10.000000,
-7.268767,	45.614147,	10.000000,
-7.799657,	45.604977,	10.000000,
-8.299874,	45.597683,	10.001316,
-8.800097,	45.590172,	10.005668,
-9.300322,	45.582451,	10.013060,
-9.800551,	45.574532,	10.023495,
-10.300784,	45.566410,	10.036971,
-10.801021,	45.558102,	10.053489,
-11.301260,	45.549606,	10.073049,
-11.801503,	45.540939,	10.095632,
-12.301749,	45.532101,	10.119414,
-12.796835,	45.528969,	10.150332,
-13.312373,	45.556477,	10.183628,
-13.826797,	45.616634,	10.216925,
-14.338043,	45.709438,	10.249994,
-14.844049,	45.834751,	10.279267,
-15.342747,	45.992298,	10.303509,
-15.832087,	46.181675,	10.322718,
-16.310032,	46.402359,	10.336894,
-16.741880,	46.634731,	10.345553,
-17.160599,	46.892887,	10.349988,
-17.564636,	47.176105,	10.353140,
-17.952484,	47.483566,	10.356292,
-18.322680,	47.814354,	10.359443,
-18.673813,	48.167473,	10.362595,
-19.004520,	48.541828,	10.365746,
-19.313509,	48.936249,	10.368897,
-19.599548,	49.349483,	10.372049,
-19.861479,	49.780201,	10.375200,
-20.098219,	50.226994,	10.378352,
-20.308765,	50.688393,	10.381503,
-20.492205,	51.162872,	10.384655,
-20.647713,	51.648819,	10.387807,
-20.774555,	52.144596,	10.390958,
-20.872099,	52.648502,	10.394110,
-20.938456,	53.148750,	10.397018,
-20.993044,	53.646152,	10.399443,
-21.047564,	54.143555,	10.401867,
-21.102007,	54.640968,	10.404291,
-21.156366,	55.138390,	10.406715,
-21.210632,	55.635811,	10.409140,
-21.264805,	56.133240,	10.411564,
-21.318872,	56.630680,	10.413988,
-21.372829,	57.128124,	10.416412,
-21.426670,	57.625580,	10.418837,
-21.495861,	58.156307,	10.420776,
-21.599598,	58.682987,	10.422716,
-21.737135,	59.200855,	10.424655,
-21.907766,	59.707760,	10.426595,
-22.110649,	60.201595,	10.428534,
-22.344805,	60.680325,	10.430473,
-22.609131,	61.141983,	10.432413,
-22.902399,	61.584686,	10.434352,
-23.223267,	62.006630,	10.436292,
-23.570280,	62.406120,	10.438231,
-23.941881,	62.781544,	10.440170,
-24.336412,	63.131409,	10.442110,
-24.752136,	63.454330,	10.444049,
-25.187220,	63.749046,	10.445989,
-25.639765,	64.014412,	10.447927,
-26.107805,	64.249420,	10.449867,
-26.589315,	64.453178,	10.451807,
-27.082230,	64.624947,	10.453746,
-27.584431,	64.764099,	10.455686,
-28.093779,	64.870171,	10.457624,
-28.608109,	64.942833,	10.459564,
-29.125244,	64.981880,	10.461504,
-29.643003,	64.987267,	10.463443,
-30.159212,	64.959068,	10.465383,
-30.671709,	64.897530,	10.467321,
-31.178358,	64.803001,	10.469261,
-31.677052,	64.675987,	10.471201,
-32.165726,	64.517128,	10.473140,
-32.642365,	64.327179,	10.475080,
-33.105011,	64.107033,	10.477018,
-33.551765,	63.857700,	10.478958,
-33.980808,	63.580311,	10.480898,
-34.390396,	63.276108,	10.482837,
-34.778866,	62.946438,	10.484776,
-35.144665,	62.592758,	10.486715,
-35.486320,	62.216606,	10.488655,
-35.812912,	61.824627,	10.491079,
-36.133018,	61.440342,	10.493504,
-36.453377,	61.056278,	10.495928,
-36.773994,	60.672443,	10.498352,
-37.094875,	60.288830,	10.500776,
-37.416023,	59.905453,	10.503201,
-37.737442,	59.522316,	10.505625,
-38.059139,	59.139423,	10.508049,
-38.381119,	58.756775,	10.510473,
-38.703388,	58.374378,	10.512897,
-39.025921,	57.997971,	10.515564,
-39.370937,	57.640469,	10.518474,
-39.740120,	57.307026,	10.521382,
-40.131767,	56.999313,	10.524292,
-40.544048,	56.718868,	10.527201,
-40.975147,	56.467304,	10.530109,
-41.423061,	56.246067,	10.533019,
-41.885586,	56.056290,	10.535928,
-42.360451,	55.898926,	10.538837,
-42.845314,	55.774769,	10.541746,
-43.337788,	55.684437,	10.544655,
-43.835453,	55.628380,	10.547565,
-44.335873,	55.606853,	10.550473,
-44.836586,	55.619957,	10.553383,
-45.335155,	55.667599,	10.556292,
-45.829140,	55.749519,	10.559200,
-46.316139,	55.865273,	10.562110,
-46.793800,	56.014259,	10.565019,
-47.259819,	56.195705,	10.567928,
-47.711948,	56.408669,	10.570837,
-48.148037,	56.652061,	10.573746,
-48.566006,	56.924644,	10.576655,
-48.963879,	57.225040,	10.579564,
-49.339802,	57.551727,	10.582474,
-49.692013,	57.903069,	10.585382,
-50.018894,	58.277306,	10.588291,
-50.318962,	58.672581,	10.591201,
-50.590851,	59.086933,	10.594110,
-50.833366,	59.518318,	10.597019,
-51.045452,	59.964630,	10.599928,
-51.226208,	60.423676,	10.602838,
-51.374893,	60.893230,	10.605746,
-51.490925,	61.371029,	10.608655,
-51.573895,	61.854767,	10.611565,
-51.630787,	62.382744,	10.614473,
-51.679455,	62.880512,	10.616898,
-51.727844,	63.378319,	10.619322,
-51.775970,	63.876156,	10.621746,
-51.823845,	64.374023,	10.624170,
-51.871475,	64.871918,	10.626595,
-51.918877,	65.369843,	10.629019,
-51.969738,	65.892151,	10.631443,
-52.051228,	66.418991,	10.633383,
-52.172909,	66.938889,	10.635322,
-52.334198,	67.448792,	10.637261,
-52.534290,	67.945694,	10.639201,
-52.772144,	68.426613,	10.641140,
-53.046505,	68.888725,	10.643080,
-53.355888,	69.329231,	10.645019,
-53.698601,	69.745491,	10.646958,
-54.072762,	70.134979,	10.648898,
-54.476284,	70.495316,	10.650837,
-54.906902,	70.824303,	10.652777,
-55.362190,	71.119873,	10.654716,
-55.839565,	71.380203,	10.656655,
-56.336300,	71.603607,	10.658595,
-56.849545,	71.788673,	10.660534,
-57.376347,	71.934151,	10.662474,
-57.913654,	72.039070,	10.664412,
-58.458347,	72.102646,	10.666352,
-59.007244,	72.124374,	10.668292,
-59.557129,	72.103958,	10.670231,
-60.104771,	72.041389,	10.672171,
-60.646935,	71.936874,	10.674109,
-61.180401,	71.790878,	10.676049,
-61.701996,	71.604118,	10.677989,
-62.208607,	71.377556,	10.679928,
-62.697182,	71.112389,	10.681868,
-63.164772,	70.810036,	10.683806,
-63.608555,	70.472160,	10.685746,
-64.025810,	70.100632,	10.687686,
-64.413994,	69.697540,	10.689625,
-64.727905,	69.320717,	10.691322,
-65.016228,	68.923103,	10.693019,
-65.277573,	68.506424,	10.694715,
-65.517838,	68.064163,	10.696655,
-65.751617,	67.621933,	10.699080,
-65.985275,	67.179649,	10.701504,
-66.218803,	66.737305,	10.703928,
-66.452194,	66.294891,	10.706352,
-66.685440,	65.852402,	10.708776,
-66.918526,	65.409828,	10.711201,
-67.151436,	64.967186,	10.713625,
-67.384171,	64.524445,	10.716049,
-67.616714,	64.081612,	10.718473,
-67.849052,	63.638672,	10.720898,
-68.081177,	63.195633,	10.723322,
-68.313080,	62.752483,	10.725746,
-68.555489,	62.319065,	10.728898,
-68.843513,	61.909359,	10.732534,
-69.172073,	61.533913,	10.736171,
-69.537178,	61.196590,	10.739807,
-69.934502,	60.900826,	10.743443,
-70.359421,	60.649548,	10.747080,
-70.807037,	60.445183,	10.750716,
-71.272308,	60.289642,	10.754353,
-71.782158,	60.179077,	10.758231,
-72.299736,	60.126587,	10.762110,
-72.818604,	60.132462,	10.765988,
-73.332336,	60.196270,	10.769868,
-73.834671,	60.316933,	10.773746,
-74.319496,	60.492687,	10.777625,
-74.780960,	60.721161,	10.781504,
-75.213531,	60.999374,	10.785382,
-75.612038,	61.323803,	10.789262,
-75.971733,	61.690407,	10.793140,
-76.308586,	62.118404,	10.796518,
-76.605850,	62.511600,	10.798215,
-76.933716,	62.895573,	10.799670,
-77.288177,	63.259064,	10.803522,
-77.669456,	63.599339,	10.824562,
-78.077309,	63.913303,	10.855725,
-78.493301,	64.189430,	10.883971,
-78.946251,	64.480438,	10.920576,
-79.428619,	64.753555,	10.947307,
-79.908218,	64.977409,	10.966214,
-80.405312,	65.165642,	10.980936,
-80.917374,	65.314445,	10.991475,
-81.428024,	65.418709,	10.997829,
-81.726425,	65.462418,	10.999806,
-82.231209,	65.521767,	11.000000,
-82.727516,	65.582565,	11.000000,
-83.257332,	65.649483,	11.000000,
-83.782791,	65.700096,	11.000000,
-84.310234,	65.730194,	11.000000,
-84.838936,	65.739616,	11.000000,
-85.368149,	65.728218,	11.000000,
-85.897125,	65.695885,	11.000000,
-86.425102,	65.642525,	11.000000,
-86.951271,	65.568069,	10.999980,
-87.474838,	65.472488,	10.999027,
-87.994987,	65.355774,	10.996646,
-88.510895,	65.217941,	10.992838,
-89.021706,	65.059052,	10.987602,
-89.526588,	64.879196,	10.980939,
-90.024666,	64.678505,	10.972847,
-90.515373,	64.456993,	10.963323,
-90.997238,	64.215141,	10.952374,
-91.469704,	63.953045,	10.940000,
-91.931870,	63.671001,	10.926197,
-92.382881,	63.369328,	10.910967,
-92.821854,	63.048393,	10.894309,
-93.247932,	62.708595,	10.876223,
-93.660240,	62.350395,	10.856709,
-94.057930,	61.974281,	10.835769,
-94.426430,	61.598137,	10.813400,
-94.770905,	61.224552,	10.790467,
-95.104279,	60.839886,	10.770029,
-95.426109,	60.444420,	10.752353,
-95.736000,	60.038464,	10.737439,
-96.033516,	59.622345,	10.725287,
-96.318268,	59.196407,	10.715899,
-96.589836,	58.761013,	10.709271,
-96.847847,	58.316555,	10.705407,
-97.091911,	57.863430,	10.704306,
-97.321648,	57.402069,	10.705966,
-97.536713,	56.932915,	10.710388,
-97.736748,	56.456432,	10.717574,
-97.921425,	55.973099,	10.727521,
-98.090424,	55.483429,	10.740232,
-98.243454,	54.987923,	10.755703,
-98.380203,	54.487129,	10.773938,
-98.500435,	53.981598,	10.794916,
-98.603889,	53.471901,	10.816974,
-98.690331,	52.958630,	10.839031,
-98.759560,	52.442368,	10.861089,
-98.811394,	51.923748,	10.883146,
-98.845665,	51.403393,	10.905204,
-98.862236,	50.881943,	10.927261,
-98.869087,	50.374081,	10.954833,
-98.872803,	49.874081,	10.982405,
-98.873512,	49.375698,	11.009976,
-98.875252,	48.854813,	11.040305,
-98.883568,	48.326691,	11.073392,
-98.904587,	47.802078,	11.109235,
-98.943810,	47.287678,	11.146131,
-99.000732,	46.789738,	11.181974,
-99.076134,	46.294258,	11.219000,
-99.169914,	45.801929,	11.259109,
-99.281929,	45.313427,	11.302327,
-99.412048,	44.829430,	11.348654,
-99.560059,	44.350601,	11.398089,
-99.725784,	43.877609,	11.450633,
-99.908989,	43.411110,	11.506286,
-100.117416,	42.931469,	11.565047,
-100.339066,	42.454212,	11.622047,
-100.563744,	41.986275,	11.676624,
-100.780693,	41.538620,	11.728171,
-100.998787,	41.088696,	11.781558,
-101.216888,	40.638771,	11.836784,
-101.434982,	40.188843,	11.893849,
-101.672180,	39.728676,	11.982897,
-101.925018,	39.308670,	12.076082,
-102.204575,	38.905952,	12.172271,
-102.509659,	38.522217,	12.268598,
-102.839005,	38.159084,	12.364916,
-103.191208,	37.818077,	12.457270,
-103.564789,	37.500645,	12.542370,
-103.958183,	37.208111,	12.620218,
-104.369720,	36.941719,	12.690814,
-104.797676,	36.702587,	12.754157,
-105.240242,	36.491714,	12.810246,
-105.695564,	36.310005,	12.859084,
-106.161697,	36.158215,	12.900669,
-106.636711,	36.036983,	12.935001,
-107.155792,	35.938000,	12.960501,
-107.664848,	35.850430,	12.976104,
-108.174622,	35.767120,	12.987806,
-108.685066,	35.688084,	12.995609,
-109.196152,	35.613312,	12.999512,
-109.707848,	35.542824,	13.000000,
-110.220123,	35.476616,	13.000000,
-110.732925,	35.414703,	13.000000,
-111.246231,	35.357075,	13.000000,
-111.760002,	35.303753,	13.000000,
-112.274200,	35.254726,	13.000000,
-112.788788,	35.210003,	13.000000,
-113.303734,	35.169582,	13.000000,
-113.819000,	35.133480,	13.000000,
-114.334557,	35.101688,	13.000000,
-114.850349,	35.074207,	13.000000,
-115.366364,	35.051052,	13.000000,
-115.882553,	35.032207,	13.000000,
-116.398872,	35.017685,	13.000000,
-116.915306,	35.007481,	13.000000,
-117.431801,	35.001598,	13.000000,
-117.952988,	35.000000,	13.000000,
-118.452988,	35.000000,	13.000000,
-118.952988,	35.000000,	13.000000,
-119.452988,	35.000000,	13.000000,
-119.952988,	35.000000,	13.000000,
-120.452988,	35.000000,	13.000000,
-120.952988,	35.000000,	13.000000,
-121.452988,	35.000000,	13.000000,
-122.000000,	35.000000,	13.000000,
-122.500000,	35.000000,	13.000000,
-123.000000,	35.000000,	13.000000,
-123.500000,	35.000000,	13.000000,
-124.000000,	35.000000,	13.000000,
-124.500000,	35.000000,	13.000000,
-125.000000,	35.000000,	13.000000,
-125.500000,	35.000000,	13.000000,
-126.000000,	35.000000,	13.000000,
-126.500000,	35.000000,	13.000000,
-127.394012,	34.910301,	13.000000,
-128.252380,	34.644775,	13.000000,
-129.040894,	34.214012,	13.000000,
-129.728104,	33.635178,	13.000000,
-130.286621,	32.931362,	13.000000,
-130.694168,	32.130611,	13.000000,
-130.934525,	31.264853,	13.000000,
-130.998077,	30.368603,	13.000000,
-130.882309,	29.477591,	13.000000,
-130.591843,	28.627340,	13.000000,
-130.138229,	27.851746,	13.000000,
-129.539581,	27.181728,	13.000000,
-128.819763,	26.644001,	13.000000,
-128.007446,	26.259998,	13.000000,
-127.135040,	26.045033,	13.000000,
-126.470795,	26.000000,	13.000000,
-125.970795,	26.000000,	13.000000,
-125.470795,	26.000000,	13.000000,
-124.970795,	26.000000,	13.000000,
-124.470795,	26.000000,	13.000000,
